Iphone X 64 gb silver            ,38 000 KGS
Iphone Xs Max 256 gb space gray Dual Sim(двусимочный)            ,69 999 KGS
6 000 KGS,Продаю            
Продаю            ,Договорная
14 000 KGS,IPhone 7/32 gb            
Продаю Айфон x 64 гб в комплекте зарядка            ,35 500 KGS
58 000 KGS,Iphone Х 256g не реФ!!! состояние идеал            
"Продаю айфон5s. Б/у
Или меняю на редми нот7            ",5 000 KGS
600 KGS,"Коробка от телефона Iphone 6. Оригинал,все            "
11 000 KGS,"Iphone 6s 64gb Gold
Идеальное состояние            "
14 000 KGS,"Apple watch 
3-серия с поддержкой LTE
42мм
Состояние под масло!            "
Айфон 64 гб тачи не работает а так все            ,6 000 KGS
26 500 KGS,Продаю iphone 7plus 128GB            
5 000 KGS,Состояния отлично            
Продаю Iphone 6s + (plus) состояние идеал            ,17 000 KGS
Айфон 7plus            ,23 500 KGS
450 KGS,Распродажа Power Bank 20.000mah            
Только обмен предлагайте варианты            ,Договорная
"Продам Айфон 4Ж, в хор сост, коробка,доки
2500 сом            ",2 500 KGS
"Айфон 5S на разбор, ошибка процессора, батарейка            ",Договорная
7 000 KGS,"Продаю айфон 5s, оригинал, в идеальном состоянии!            "
Айфон 6S. 16gb. Стекло треснуто. На работу не влияет            ,5 900 KGS
Срочно продам без торга в            ,15 000 KGS
Продаю или меняю iphone se 16gb. В хорошем            ,6 300 KGS
Договорная,Айфон 5 с 32 г состояния идеал обмен предлагаите?!            
Обмен предлогайте свои варианты?!            ,Договорная
"Продаю IPhone 7plus состояние Отличное,все            ",23 000 KGS
Срочно продаю айфон 6 16гб. все            ,6 500 KGS
Срочно продаю айфон 6 16гб. все            ,6 500 KGS
3 500 KGS,"Продаю iphone 5s 16,привозной с            "
500 KGS,Таап алдым жардам берип койгула ээсине тааныгандар            
30 000 KGS,Срочно только фейс айди не работает !!! Без торга            
10 000 KGS,"Куплю 
IPhone 6s 32-64gb 
Сломанные не предлагать !
Цена 10.000 тыс            "
Скупка айфонов !            ,20 000 KGS
Продам гнездо на айфон 5 s вместе с корпусом            ,500 KGS
10 000 KGS,Скупка айфонов ! Адекватная цена ! Быстрый расчет !            
Продам айфон 6 s 16 gb состояние очень            ,9 000 KGS
Продаю Айфон 8+ 256 гб в идеальном состоянии ! Не реф ! Цена 39000с            ,39 000 KGS
Скупка айфонов ! Быстрая выплата ! Высокая оценка!            ,20 000 KGS
10 000 KGS,Скупка Apple !расчет сразу !            
15 000 KGS,Скупка телефонов ! Apple!            
"Xs Max 64 gold на турбосим, состояние идеал            ",39 500 KGS
19 000 KGS,"IPhone 7 Plus 128GB, идеален во всем            "
Продаю iPhone 7 Plus Silver Серебро 32GB            ,19 000 KGS
Iphone 5s 16gb. Silver в супер отличном            ,6 100 KGS
